A,B,C,D,E,F
5,3.4439478825500003,1993.2708209630105,1164.5369945309396,3.444123273710001,0.08836096857000005
7,3.5263609701600016,2054.87130821596,1236.3377364564399,3.526507423450001,0.08437795870000002
9,3.5236228546399984,2044.01738212606,1183.8478359732198,3.523732316710001,0.07000005622
21,3.5948181641999986,2032.4158360091897,1133.6572606397792,3.5947581271700004,0.07133139857999998
