A,B,C,D,E,F
5,0.0,0.0,0.52,0.0,0.93
7,0.0,0.0,0.48,0.7,0.99
9,0.0,0.0,0.59,1.0,1.0
21,0.0,0.0,0.6,1.0,0.98
