A,B,C,D,E,F
5,461.06,0.0,2.66,1.0,1.99
7,461.11,0.0,2.77,1.4,2.01
9,461.01,0.0,2.61,2.0,2.0
21,461.42,1.0,2.46,2.0,2.02
