x1,x2,x3,x4,x5,x6,x7
200.0,0.2073069902933701,0.06373942295441619,0.07651241491093481,0.03261060170011871,0.057379493537111734,0.026287046250861004
400.0,0.14412276393343912,0.030559001881019333,0.042503279306734934,0.015054213716075926,0.029713740083794193,0.011448366463810108
600.0,0.12623852526008877,0.02605209824871615,0.03246462108015073,0.009627412412866236,0.0218550858654603,0.007872743305264935
800.0,0.10676804016373592,0.021080950655405124,0.028420566704677328,0.009666465891312776,0.01988415904602266,0.007315935636594855
1000.0,0.09440033861336632,0.01943315853399564,0.026233135141555078,0.00909831695886409,0.017943629315002114,0.00646056520321484
1200.0,0.08405301154212852,0.016586197686026725,0.023641802988314392,0.007837324452482726,0.016682281751464228,0.00593173881533474
1400.0,0.08084311347615454,0.01724739743822309,0.02278932032658743,0.007022698102498381,0.01475233947704198,0.00543543111856461
1600.0,0.07625403353751388,0.016431330173665715,0.021554389346095736,0.007190238694982567,0.014484760166993975,0.0053249848091689355
1800.0,0.07466926546674099,0.016145900255780974,0.022186088347633647,0.007279194065345759,0.01331384437723298,0.005135358676608169
2000.0,0.07166707032541314,0.014775674555050088,0.01996694835796159,0.006578954719848335,0.013083103567770798,0.004837184327559153
2200.0,0.07091923337797952,0.015090617807588103,0.019878644002628648,0.006403782660509092,0.012136794295259828,0.004648265924902595
2400.0,0.06998025262303113,0.014972229649911456,0.01975925813536642,0.006067657536853389,0.01171997885951006,0.004152707935551322
2600.0,0.06681767024462108,0.011583419112327074,0.01870386934076227,0.005950211284441545,0.010866684127386547,0.004093483578002342
2800.0,0.06647478310247681,0.012850375724345752,0.01860830796637331,0.0056164793552781495,0.01091093039448945,0.004080823789152134
3000.0,0.06556845717523116,0.013037098764296614,0.017578317607000626,0.004968370843352248,0.010585036689774752,0.003908136493183638
3500.0,0.061601361447102265,0.012090279108650548,0.016273583754388123,0.004770732574113475,0.00945218515987681,0.003490710882463061
4000.0,0.0568497622868288,0.01256595202850528,0.015253681235272466,0.004449824952214813,0.008877398043482117,0.003486052232434238
4500.0,0.052651944511843754,0.010854326180227648,0.01451040684899979,0.004609110934282084,0.008197468022449958,0.0030037721674599388
5000.0,0.049366902311681594,0.009906234095245138,0.013746115227217168,0.003968682424790817,0.007899891979549578,0.0029210685141558405
5500.0,0.046281576117791164,0.00987129380105032,0.012812331136671297,0.003799169761293501,0.007741251216345221,0.0026914083320805026
6000.0,0.04371533883076289,0.009404919297604052,0.012402528161196642,0.003443266035932398,0.007292026143988311,0.002798824810381218
6500.0,0.04131026471915044,0.008496219410099589,0.011745419475915769,0.003412018967499286,0.007348947807128184,0.002919806204571801
7000.0,0.03916402238517549,0.008931724105014591,0.011477902070163805,0.0033635164480423684,0.006588502841334497,0.0025804737899929966
7500.0,0.0384677566826972,0.008745043035634477,0.010349009984786852,0.0030263623932623943,0.006512230868234965,0.0025535302292057057
8000.0,0.036254425799590595,0.007768135638034635,0.010165765598322623,0.0029801877962981503,0.006627713174033422,0.0026135386498891467
