N,LanTime
200,0.00046840078000000003
400,0.00093453754
600,0.00107862336
800,0.0015411276
1000,0.0020245750199999997
1200,0.0028957566400000007
1400,0.0035537782399999995
1600,0.005984295840000002
1800,0.00747814424
2000,0.009445697519999997
2200,0.01249625658
2400,0.016432013260000003
2600,0.019265830039999998
2800,0.02246489506
3000,0.0386924175
3500,0.034593623399999995
4000,0.045133448320000005
4500,0.06131329078
5000,0.06968165583999998
5500,0.08471826826
6000,0.09761224416000003
6500,0.11597850498000001
7000,0.13497624821999996
7500,0.15303028342000005
8000,0.16963904004000008
