N,EigTime
200,0.0011926908800000001
400,0.004436570779999999
600,0.012000887420000002
800,0.021424581700000004
1000,0.03527073916
1200,0.06536955169999997
1400,0.08636753751999998
1600,0.10835638338000003
1800,0.14566585671999996
2000,0.2144778283
2200,0.29467964416
2400,0.37959335418
2600,0.50809557252
2800,0.6997275475000001
3000,0.7508270282999999
3500,1.4326016983199994
4000,2.4555191008399992
4500,3.4500799501000006
5000,4.6949296666999984
5500,6.27508103076
6000,7.971351991559999
6500,10.151651350720002
7000,12.45628436078
7500,15.645009423360001
8000,18.20510602246
