N,LanTime
200,0.00015684254000000004
400,0.00045712744
600,0.0009412884199999996
800,0.0013793383399999999
1000,0.0016934849999999998
1200,0.0029523349200000016
1400,0.0033881375200000004
1600,0.004585125760000001
1800,0.00587094664
2000,0.010216360039999997
2200,0.012971734080000002
2400,0.013242085719999998
2600,0.016273031640000005
2800,0.023723678319999997
3000,0.0245602192
3500,0.03684693832
4000,0.04987689161999998
4500,0.06127153012
5000,0.07059737169999998
5500,0.07946532084
6000,0.10222962924
6500,0.13584175257999997
7000,0.16713292419999995
7500,0.23663196586000002
8000,0.4580651141
