N,Spikes
200,3.26
400,3.1
600,3.18
800,3.08
1000,3.04
1200,2.98
1400,3.02
1600,3.02
1800,3.02
2000,3.06
2200,3.0
2400,3.0
2600,3.0
2800,3.0
3000,3.0
3500,3.0
4000,3.0
4500,3.0
5000,3.0
5500,3.0
6000,3.0
6500,3.0
7000,3.0
7500,3.02
8000,3.0
