N,EigTime
200,0.0011566149800000002
400,0.0041695358
600,0.0099807301
800,0.0192352533
1000,0.032535489220000005
1200,0.05003408255999999
1400,0.07463125577999999
1600,0.10294459912
1800,0.14045694249999996
2000,0.18828782335999997
2200,0.24475945166000002
2400,0.3295714449599999
2600,0.43721617914000005
2800,0.6064405342599999
3000,0.7639920066599996
3500,1.4013965174799998
4000,2.46813713998
4500,3.4388112665400006
5000,4.7357603699399995
5500,6.410032925019997
6000,8.084592609160001
6500,10.523315236639998
7000,12.903573759919993
7500,16.161387757460002
8000,19.26029034822
