N,Percent
200,1.0
400,0.98
600,1.0
800,1.0
1000,1.0
1200,1.0
1400,1.0
1600,1.0
1800,1.0
2000,1.0
2200,1.0
2400,1.0
2600,1.0
2800,1.0
3000,1.0
3500,1.0
4000,1.0
4500,1.0
5000,1.0
5500,1.0
6000,1.0
6500,1.0
7000,1.0
7500,1.0
8000,1.0
