N,Percent
200,0.46
400,0.52
600,0.62
800,0.72
1000,0.82
1200,0.8
1400,0.78
1600,0.82
1800,0.84
2000,0.92
2200,0.86
2400,0.94
2600,0.94
2800,0.92
3000,0.92
3500,0.98
4000,0.96
4500,0.92
5000,0.98
5500,1.0
6000,0.98
6500,0.94
7000,0.98
7500,0.96
8000,0.96
