A,B,C,D,E,F
5,0.7948471958400003,288.6114121559801,227.17580376580005,0.7949327449999999,0.035953025039999996
7,0.79743566928,288.30890726250004,245.74795066,0.7975354951200002,0.0336055583
9,0.7840691466999999,288.45104607080003,238.05948490002004,0.78419240588,0.032017055759999996
21,0.7799239882600001,290.15058490074006,246.65774274395994,0.7799972748399999,0.028166872519999994
