A,B,C,D,E,F
5,0.0,0.0,0.5,0.0,0.88
7,0.0,0.0,0.36,0.76,1.0
9,0.0,0.0,0.4,1.0,0.98
21,0.0,0.0,0.34,1.0,1.0
